question,volume_M_usd,closed,outcome_prices
Will Donald Trump win the 2024 US Presidential Election?,1531.48,1,"['1', '0']"
Will Kamala Harris win the 2024 US Presidential Election?,1037.04,1,"['0', '1']"
Will Donald Trump be inaugurated?,400.41,1,"['1', '0']"
Will the Sacramento Kings win the 2025 NBA Finals?,378.01,1,"['0', '1']"
Will Nicolae Ciucă win the 2024 Romanian Presidential election?,326.51,1,"['0', '1']"
Will Zelenskyy wear a suit before July?,242.23,1,"['0', '1']"
Will any other Republican Politician win the 2024 US Presidential Election?,241.66,1,"['0', '1']"
Fed decreases interest rates by 50+ bps after January 2026 meeting?,235.07,1,"['0', '1']"
Fed increases interest rates by 25+ bps after January 2026 meeting?,216.46,1,"['0', '1']"
Will the Fed decrease interest rates by 50+ bps after the March 2026 meeting?,173.17,1,"['0', '1']"
Will the Fed increase interest rates by 25+ bps after the March 2026 meeting?,172.97,1,"['0', '1']"
Kamala Harris wins the popular vote?,163.78,1,"['0', '1']"
Fed decreases interest rates by 50+ bps after December 2025 meeting?,161.57,1,"['0', '1']"
US government shutdown Saturday?,157.3,1,"['1', '0']"
Will the Toronto Raptors win the 2025 NBA Finals?,154.22,1,"['0', '1']"
Will Michelle Obama win the 2024 US Presidential Election?,153.38,1,"['0', '1']"
Will Zohran Mamdani win the 2025 NYC mayoral election?,143.25,1,"['1', '0']"
Will Robert F. Kennedy Jr. win the 2024 US Presidential Election?,141.61,1,"['0', '1']"
Will the Panthers win Super Bowl 2025?,139.31,1,"['0', '1']"
Fed increases interest rates by 25+ bps after November 2024 meeting?,133.96,1,"['0', '1']"
