question,prix_yes,volume_usd,resultat,closed
Will Jesus Christ return before 2027?,0.039,52934563.0,0,0
Will Trump nominate Christopher Waller as the next Fed chair?,0.001,29229522.0,0,1
Will the US confirm that aliens exist before 2027?,0.17,20627029.0,0,0
Will Chris Christie win the 2024 US Presidential Election?,0.001,14192736.0,0,1
Will Jesus Christ return before GTA VI?,0.49,10372549.0,0,0
Will the US confirm that aliens exist in 2025?,0.001,8394057.0,0,1
Will Chris Christie win the popular vote in the 2024 Presidential Election?,0.001,5734813.0,0,1
Will Christian McCaffrey win NFL MVP for the 2024-25 season?,0.001,4658574.0,0,1
Will the Christian Democratic People’s Party (KDNP) win the most seats in the next Hungarian parliamentary election?,0.001,4474567.0,0,0
Will Rixi Ramona Moncada Godoy win the 2025 Honduras presidential election?,0.001,4398248.0,0,1
Will Christian Lindner be the next Chancellor of Germany?,0.001,4150680.0,0,1
Will Meteora be accused of insider trading?,0.001,3788175.0,0,1
Will the US confirm that aliens exist in 2024?,0.003,3542995.0,0,1
Will Jesus Christ return in 2025?,0.001,3267970.0,0,1
Will the Christian Democratic Appeal win the most seats in the 2025 Netherlands parliamentary election?,0.001,2037728.0,0,1
LoL: EDward Gaming vs Oh My God (BO5) - LPL Knights Rivals,0.001,1915177.0,0,1
LoL: Invictus Gaming vs Oh My God - Game 2 Winner,0.999,1666129.0,1,1
Will the US confirm that aliens exist by March 31?,0.001,1629376.0,0,0
Trump Admin confirms Aliens exist in first 100 days?,0.003,1577522.0,0,1
LoL: Invictus Gaming vs Oh My God (BO5) - LPL Knights Rivals,0.998,1527741.0,1,1
LoL: LGD Gaming vs Oh My God (BO3) - LPL Group Nirvana,0.001,1515408.0,0,1
Meteora FDV above $1B one day after launch?,0.003,1447784.0,0,1
Will Spotify's top song on Christmas be 'All I Want For Christmas Is You'?,0.999,1387398.0,1,1
LoL: Invictus Gaming vs Oh My God - Game 3 Winner,0.998,1216434.0,1,1
Are the New Jersey mystery drones aliens?,0.001,1197278.0,0,1
Spread: Houston Christian Huskies (-2.5),0.999,874581.0,1,1
LoL: Oh My God vs LNG Esports (BO5),0.001,866614.0,0,1
Interstellar object confirmed aliens?,0.001,863537.0,0,1
Will the US confirm that aliens exist by August 31?,0.009,855759.0,0,1
Houston Christian Huskies vs. Stephen F. Austin Lumberjacks: O/U 137.5,0.999,847513.0,1,1
Meteora FDV above $2B one day after launch?,0.001,786910.0,0,1
"Will Santa deliver between 8,200,000,000 and 8,300,000,000 gifts for Christmas 2025?",0.999,716003.0,1,1
Will Christian Braun win 2024-25 NBA Most Improved?,0.001,711548.0,0,1
Will the Christian Union win the most seats in the 2025 Netherlands parliamentary election?,0.001,665980.0,0,1
"Jesus Christ return before 2027 Odds >5% February 17, 12-1 AM?",0.001,665118.0,0,1
LoL: Oh My God vs LNG Esports (BO3),0.001,641570.0,0,1
LoL: JD Gaming vs Oh My God (BO3) - Esports World Cup China Qualifier Phase 2,0.999,640760.0,0,0
LoL: Oh My God vs LGD Gaming (BO3) - LPL Group Nirvana,0.999,613127.0,1,1
Spread: Abilene Christian Wildcats (-3.5),0.03,597642.0,0,1
Rotterdam Open: Valentin Royer vs Christopher O'Connell,0.001,586857.0,0,1
LoL: EDward Gaming vs Oh My God - Game 4 Winner,0.001,570539.0,0,1
Will Christopher Miller be Trump's Defense Secretary?,0.001,560478.0,0,1
LoL: Ninjas in Pyjamas vs Oh My God (BO3) - Esports World Cup China Qualifier Phase 1,0.001,559360.0,0,1
East Texas A&M Lions vs. Houston Christian Huskies: O/U 139.5,0.998,544861.0,1,1
LoL: EDward Gaming vs Oh My God - Game 2 Winner,0.001,522899.0,0,1
Will Christopher Waller be confirmed as Fed Chair?,0.001,484549.0,0,0
LoL: JD Gaming vs Oh My God - Game 2 Winner,0.001,466923.0,0,0
Will Russia announce a Christmas truce?,0.001,460437.0,0,1
LoL: Invictus Gaming vs Oh My God - Game 1 Winner,0.999,442358.0,1,1
LoL: LGD Gaming vs Oh My God - Game 1 Winner,0.001,441768.0,0,1
