question,prix_yes,prix_no,gain_si_no_pct,volume_usd,closed,resultat
Will Kamala Harris win the 2024 US Presidential Election?,0.001,0.999,0.1,1037039118.0,1,0
Will the Sacramento Kings win the 2025 NBA Finals?,0.001,0.999,0.1,378011507.0,1,0
Will Nicolae Ciucă win the 2024 Romanian Presidential election?,0.001,0.999,0.1,326507671.0,1,0
Will Zelenskyy wear a suit before July?,0.001,0.999,0.1,242231180.0,1,0
Will any other Republican Politician win the 2024 US Presidential Election?,0.001,0.999,0.1,241655100.0,1,0
Fed decreases interest rates by 50+ bps after January 2026 meeting?,0.001,0.999,0.1,235065167.0,1,0
Fed increases interest rates by 25+ bps after January 2026 meeting?,0.001,0.999,0.1,216455743.0,1,0
Will the Fed decrease interest rates by 50+ bps after the March 2026 meeting?,0.001,0.999,0.1,173173635.0,1,0
Will the Fed increase interest rates by 25+ bps after the March 2026 meeting?,0.001,0.999,0.1,172972057.0,1,0
Kamala Harris wins the popular vote?,0.001,0.999,0.1,163779787.0,1,0
Fed decreases interest rates by 50+ bps after December 2025 meeting?,0.001,0.999,0.1,161574382.0,1,0
Will the Toronto Raptors win the 2025 NBA Finals?,0.001,0.999,0.1,154220300.0,1,0
Will Michelle Obama win the 2024 US Presidential Election?,0.001,0.999,0.1,153382276.0,1,0
Will Robert F. Kennedy Jr. win the 2024 US Presidential Election?,0.001,0.999,0.1,141605111.0,1,0
Will the Panthers win Super Bowl 2025?,0.001,0.999,0.1,139314924.0,1,0
Fed increases interest rates by 25+ bps after November 2024 meeting?,0.001,0.999,0.1,133955589.0,1,0
Fed increases interest rates by 25+ bps after December 2025 meeting?,0.001,0.999,0.1,133173605.0,1,0
Will Aston Villa win the UEFA Champions League?,0.001,0.999,0.1,133113813.0,1,0
Will the Washington Wizards win the 2025 NBA Finals?,0.001,0.999,0.1,130194076.0,1,0
Will the Utah Jazz win the 2025 NBA Finals?,0.001,0.999,0.1,129911351.0,1,0
Will Trump nominate Judy Shelton as the next Fed chair?,0.001,0.999,0.1,127684065.0,1,0
Will the Raiders win Super Bowl 2025?,0.001,0.999,0.1,123969933.0,1,0
Will the Titans win Super Bowl 2025?,0.001,0.999,0.1,119500829.0,1,0
Will the Charlotte Hornets win the 2025 NBA Finals?,0.001,0.999,0.1,116668814.0,1,0
Will any other Democratic Politician win the 2024 US Presidential Election?,0.001,0.999,0.1,116558196.0,1,0
Will the Browns win Super Bowl 2025?,0.001,0.999,0.1,115257552.0,1,0
Will Frances Fitzgerald win the Irish Presidential Election?,0.001,0.999,0.1,115067178.0,1,0
Will the Democratic candidate win Pennsylvania by 1.5%-2.0%?,0.002,0.998,0.2,109063760.0,1,0
Will the Giants win Super Bowl 2025?,0.001,0.999,0.1,107857307.0,1,0
Will Nikki Haley win the 2024 US Presidential Election?,0.001,0.999,0.1,107529158.0,1,0
